scan_type,rule_name,description,alert_id,alert_url,risk,cwe
passive,Charset Mismatch (Meta Charset Versus Meta Content-Type Charset),"This check identifies responses where the HTTP Content-Type header declares a charset different from the charset defined by the body of the HTML or XML. When there’s a charset mismatch between the HTTP header and content body Web browsers can be forced into an undesirable content-sniffing mode to determine the content’s correct character set. The scan rule handles various conditions depending on the Threshold set for the rule, as follows: All Thresholds: Header Versus Meta Content-Type Charset - The declaration in the HTTP Content-Type header doesn’t match what is declared in a META Content-Type tag. Header Versus Meta Charset - The declaration in the HTTP Content-Type header doesn’t match what is declared in a META Charset tag. Low Threshold: Meta Charset Versus Meta Content-Type Charset - The response contains both a META Content-Type declaration and a META Charset declaration, and they don’t match. Further reference: http://www.w3.org/TR/html401/charset.html#h-5.2.2 http://www.w3.org/TR/html5/document-metadata.html#charset",90011-3,https://www.zaproxy.org/docs/alerts/90011-3/,0,436
passive,Charset Mismatch,"This check identifies responses where the HTTP Content-Type header declares a charset different from the charset defined by the body of the HTML or XML. When there’s a charset mismatch between the HTTP header and content body Web browsers can be forced into an undesirable content-sniffing mode to determine the content’s correct character set. The scan rule handles various conditions depending on the Threshold set for the rule, as follows: All Thresholds: Header Versus Meta Content-Type Charset - The declaration in the HTTP Content-Type header doesn’t match what is declared in a META Content-Type tag. Header Versus Meta Charset - The declaration in the HTTP Content-Type header doesn’t match what is declared in a META Charset tag. Low Threshold: Meta Charset Versus Meta Content-Type Charset - The response contains both a META Content-Type declaration and a META Charset declaration, and they don’t match. Further reference: http://www.w3.org/TR/html401/charset.html#h-5.2.2 http://www.w3.org/TR/html5/document-metadata.html#charset",90011-4,https://www.zaproxy.org/docs/alerts/90011-4/,0,436
passive,Content Security Policy (CSP) Header Not Set,"This checks HTML response headers for the presence of a Content Security Policy header, or the response body for CSP specified via META tag. By default this rule checks for the presence of the “Content-Security-Policy”, “X-Content-Security-Policy”, and “X-WebKit-CSP” headers. Redirects and non-HTML responses are ignored except at the Low threshold. If a “Content-Security-Policy” header is not found, an alert is raised. If an “X-Content-Security-Policy” or “X-WebKit-CSP” header is found, an INFO alert is raised. This may represent an outdated enforcement implementation. If a “Content-Security-Policy-Report-Only” header is found on a response an INFO alert is raised. This may represent an enforcement effort
that is actively being refined or developed, or one which is only partially implemented. Note: This rule does not perform any actual analysis of the specified policy, for that please ensure the CSP scan rule is enabled.",10038-1,https://www.zaproxy.org/docs/alerts/10038-1/,2,693
passive,Obsolete Content Security Policy (CSP) Header Found,"This checks HTML response headers for the presence of a Content Security Policy header, or the response body for CSP specified via META tag. By default this rule checks for the presence of the “Content-Security-Policy”, “X-Content-Security-Policy”, and “X-WebKit-CSP” headers. Redirects and non-HTML responses are ignored except at the Low threshold. If a “Content-Security-Policy” header is not found, an alert is raised. If an “X-Content-Security-Policy” or “X-WebKit-CSP” header is found, an INFO alert is raised. This may represent an outdated enforcement implementation. If a “Content-Security-Policy-Report-Only” header is found on a response an INFO alert is raised. This may represent an enforcement effort
that is actively being refined or developed, or one which is only partially implemented. Note: This rule does not perform any actual analysis of the specified policy, for that please ensure the CSP scan rule is enabled.",10038-2,https://www.zaproxy.org/docs/alerts/10038-2/,0,693
passive,Content Security Policy (CSP) Report-Only Header Found,"This checks HTML response headers for the presence of a Content Security Policy header, or the response body for CSP specified via META tag. By default this rule checks for the presence of the “Content-Security-Policy”, “X-Content-Security-Policy”, and “X-WebKit-CSP” headers. Redirects and non-HTML responses are ignored except at the Low threshold. If a “Content-Security-Policy” header is not found, an alert is raised. If an “X-Content-Security-Policy” or “X-WebKit-CSP” header is found, an INFO alert is raised. This may represent an outdated enforcement implementation. If a “Content-Security-Policy-Report-Only” header is found on a response an INFO alert is raised. This may represent an enforcement effort
that is actively being refined or developed, or one which is only partially implemented. Note: This rule does not perform any actual analysis of the specified policy, for that please ensure the CSP scan rule is enabled.",10038-3,https://www.zaproxy.org/docs/alerts/10038-3/,0,693
passive,Content-Type Header Missing,Raises an alert if the response is lacking a Content-Type header or if the header exists but the value is empty.,10019-1,https://www.zaproxy.org/docs/alerts/10019-1/,0,345
passive,Content-Type Header Empty,Raises an alert if the response is lacking a Content-Type header or if the header exists but the value is empty.,10019-2,https://www.zaproxy.org/docs/alerts/10019-2/,0,345
passive,Cookie HttpOnly,Ensures that as cookies are set they are flagged HttpOnly. The HttpOnly flag indicates to browsers that the cookie being set should not be acted upon by client side script (such as JavaScript).,10010,https://www.zaproxy.org/docs/alerts/10010/,1,1004
passive,Cookie - Loosely Scoped,"Cookies can be scoped by domain or path. This check is only concerned with domain scope.The domain scope applied to a cookie determines which domains can access it. For example, a cookie can be scoped strictly to a subdomain e.g. www.nottrusted.com , or loosely scoped to a parent domain e.g. nottrusted.com . In the latter case, any subdomain of nottrusted.com can access the cookie. Loosely scoped cookies are common in mega-applications like google.com and live.com .",90033,https://www.zaproxy.org/docs/alerts/90033/,0,565
passive,Cookie Poisoning,"This check looks at user-supplied input in query string parameters and POST data to identify where cookie parameters might be controlled. This is called a cookie poisoning attack, and becomes exploitable when an attacker can manipulate the cookie in various ways. In some cases this will not be exploitable, however, allowing URL parameters to set cookie values is generally considered a bug.",10029,https://www.zaproxy.org/docs/alerts/10029/,0,565
passive,Cookie Secure Flag,"Looks for cookies set during HTTPS sessions, raises an alert for those that are set but do not include the secure flag. A cookie set with the secure flag will not be sent during a plain HTTP session.",10011,https://www.zaproxy.org/docs/alerts/10011/,1,614
passive,Cookie without SameSite Attribute,This reports any cookies that: do not have the SameSite attribute have the attribute set to “None” (ignored at HIGH Threshold) do not have a recognised valid value for that attribute,10054-1,https://www.zaproxy.org/docs/alerts/10054-1/,1,1275
passive,Cookie with SameSite Attribute None,This reports any cookies that: do not have the SameSite attribute have the attribute set to “None” (ignored at HIGH Threshold) do not have a recognised valid value for that attribute,10054-2,https://www.zaproxy.org/docs/alerts/10054-2/,1,1275
passive,Cookie with Invalid SameSite Attribute,This reports any cookies that: do not have the SameSite attribute have the attribute set to “None” (ignored at HIGH Threshold) do not have a recognised valid value for that attribute,10054-3,https://www.zaproxy.org/docs/alerts/10054-3/,1,1275
passive,Cross Domain Script Inclusion,"Validates whether or not scripts are included from domains other than the domain hosting the content. By looking at the “src” attributes of “script” tags in HTML responses. Allowed Cross-Domain scripts: Any script with a non-empty “integrity” attribute is ignored - the integrity value is not checked as this will be checked by the browser At MEDIUM and HIGH thresholds if a script URL falls within a context that also includes the URL of the base message no alerts will be raised. This rule supports Trusted Domains , check “General Configuration” for more information.",10017,https://www.zaproxy.org/docs/alerts/10017/,1,829
passive,Cross Domain Misconfiguration,"Passively scan responses for Cross Domain MisConfigurations, which relax the Same Origin Policy in the web browser, for instance. The current implementation looks at excessively permissive CORS headers.",10098,https://www.zaproxy.org/docs/alerts/10098/,2,264
passive,CSP: X-Content-Security-Policy,"The Content Security Policy (CSP) passive scan rule parses and analyzes CSP headers and META definitions for potential misconfiguration or weakness. This rule leverages HtmlUnit’s htmlunit-csp library to perform it’s parsing and assessment of CSPs. If a response has multiple CSPs they are analyzed individually, as there is no sure way to intersect/merge the policies and further different browsers have varying levels of CSP support and enforcement.",10055-1,https://www.zaproxy.org/docs/alerts/10055-1/,1,693
passive,CSP: X-WebKit-CSP,"The Content Security Policy (CSP) passive scan rule parses and analyzes CSP headers and META definitions for potential misconfiguration or weakness. This rule leverages HtmlUnit’s htmlunit-csp library to perform it’s parsing and assessment of CSPs. If a response has multiple CSPs they are analyzed individually, as there is no sure way to intersect/merge the policies and further different browsers have varying levels of CSP support and enforcement.",10055-2,https://www.zaproxy.org/docs/alerts/10055-2/,1,693
passive,CSP: Notices,"The Content Security Policy (CSP) passive scan rule parses and analyzes CSP headers and META definitions for potential misconfiguration or weakness. This rule leverages HtmlUnit’s htmlunit-csp library to perform it’s parsing and assessment of CSPs. If a response has multiple CSPs they are analyzed individually, as there is no sure way to intersect/merge the policies and further different browsers have varying levels of CSP support and enforcement.",10055-3,https://www.zaproxy.org/docs/alerts/10055-3/,1,693
passive,CSP: Wildcard Directive,"The Content Security Policy (CSP) passive scan rule parses and analyzes CSP headers and META definitions for potential misconfiguration or weakness. This rule leverages HtmlUnit’s htmlunit-csp library to perform it’s parsing and assessment of CSPs. If a response has multiple CSPs they are analyzed individually, as there is no sure way to intersect/merge the policies and further different browsers have varying levels of CSP support and enforcement.",10055-4,https://www.zaproxy.org/docs/alerts/10055-4/,2,693
passive,CSP: script-src unsafe-inline,"The Content Security Policy (CSP) passive scan rule parses and analyzes CSP headers and META definitions for potential misconfiguration or weakness. This rule leverages HtmlUnit’s htmlunit-csp library to perform it’s parsing and assessment of CSPs. If a response has multiple CSPs they are analyzed individually, as there is no sure way to intersect/merge the policies and further different browsers have varying levels of CSP support and enforcement.",10055-5,https://www.zaproxy.org/docs/alerts/10055-5/,2,693
passive,CSP: style-src unsafe-inline,"The Content Security Policy (CSP) passive scan rule parses and analyzes CSP headers and META definitions for potential misconfiguration or weakness. This rule leverages HtmlUnit’s htmlunit-csp library to perform it’s parsing and assessment of CSPs. If a response has multiple CSPs they are analyzed individually, as there is no sure way to intersect/merge the policies and further different browsers have varying levels of CSP support and enforcement.",10055-6,https://www.zaproxy.org/docs/alerts/10055-6/,2,693
passive,CSP: script-src unsafe-hashes,"The Content Security Policy (CSP) passive scan rule parses and analyzes CSP headers and META definitions for potential misconfiguration or weakness. This rule leverages HtmlUnit’s htmlunit-csp library to perform it’s parsing and assessment of CSPs. If a response has multiple CSPs they are analyzed individually, as there is no sure way to intersect/merge the policies and further different browsers have varying levels of CSP support and enforcement.",10055-7,https://www.zaproxy.org/docs/alerts/10055-7/,2,693
passive,CSP: style-src unsafe-hashes,"The Content Security Policy (CSP) passive scan rule parses and analyzes CSP headers and META definitions for potential misconfiguration or weakness. This rule leverages HtmlUnit’s htmlunit-csp library to perform it’s parsing and assessment of CSPs. If a response has multiple CSPs they are analyzed individually, as there is no sure way to intersect/merge the policies and further different browsers have varying levels of CSP support and enforcement.",10055-8,https://www.zaproxy.org/docs/alerts/10055-8/,2,693
passive,CSP: Malformed Policy (Non-ASCII),"The Content Security Policy (CSP) passive scan rule parses and analyzes CSP headers and META definitions for potential misconfiguration or weakness. This rule leverages HtmlUnit’s htmlunit-csp library to perform it’s parsing and assessment of CSPs. If a response has multiple CSPs they are analyzed individually, as there is no sure way to intersect/merge the policies and further different browsers have varying levels of CSP support and enforcement.",10055-9,https://www.zaproxy.org/docs/alerts/10055-9/,2,693
passive,CSP: script-src unsafe-eval,"The Content Security Policy (CSP) passive scan rule parses and analyzes CSP headers and META definitions for potential misconfiguration or weakness. This rule leverages HtmlUnit’s htmlunit-csp library to perform it’s parsing and assessment of CSPs. If a response has multiple CSPs they are analyzed individually, as there is no sure way to intersect/merge the policies and further different browsers have varying levels of CSP support and enforcement.",10055-10,https://www.zaproxy.org/docs/alerts/10055-10/,2,693
passive,CSP: Meta Policy Invalid Directive,"The Content Security Policy (CSP) passive scan rule parses and analyzes CSP headers and META definitions for potential misconfiguration or weakness. This rule leverages HtmlUnit’s htmlunit-csp library to perform it’s parsing and assessment of CSPs. If a response has multiple CSPs they are analyzed individually, as there is no sure way to intersect/merge the policies and further different browsers have varying levels of CSP support and enforcement.",10055-11,https://www.zaproxy.org/docs/alerts/10055-11/,2,693
passive,CSP: Header & Meta,"The Content Security Policy (CSP) passive scan rule parses and analyzes CSP headers and META definitions for potential misconfiguration or weakness. This rule leverages HtmlUnit’s htmlunit-csp library to perform it’s parsing and assessment of CSPs. If a response has multiple CSPs they are analyzed individually, as there is no sure way to intersect/merge the policies and further different browsers have varying levels of CSP support and enforcement.",10055-12,https://www.zaproxy.org/docs/alerts/10055-12/,0,693
passive,CSP: Failure to Define Directive with No Fallback,"The Content Security Policy (CSP) passive scan rule parses and analyzes CSP headers and META definitions for potential misconfiguration or weakness. This rule leverages HtmlUnit’s htmlunit-csp library to perform it’s parsing and assessment of CSPs. If a response has multiple CSPs they are analyzed individually, as there is no sure way to intersect/merge the policies and further different browsers have varying levels of CSP support and enforcement.",10055-13,https://www.zaproxy.org/docs/alerts/10055-13/,2,693
passive,CSRF Countermeasures,"This rule identifies “potential” vulnerabilities with the lack of known CSRF countermeasures in HTML pages with forms. The rule does not scan messages that are not HTML pages. At HIGH alert threshold only scans messages which are in scope. Post 2.5.0 you can specify a comma separated list of identifiers in the rules.csrf.ignorelist parameter via the Options ‘Rule configuration’ panel. Any FORMs with a name or ID that matches one of these identifiers will be ignored when scanning for missing Anti-CSRF tokens. Only use this feature to ignore FORMs that you know are safe, for example search forms. Form element names are sorted and de-duplicated when they are printed in the ZAP Report. Note: The rule also takes into account the Partial match setting within the Anti-CSRF Options. Forms submitted via GET are only evaluated at Low Threshold. ]",10202,https://www.zaproxy.org/docs/alerts/10202/,2,352
passive,Directory Browsing,Passively scans responses for signatures that are indicative that Directory Browsing is possible.,10033,https://www.zaproxy.org/docs/alerts/10033/,2,548
passive,Hash Disclosure,"Passively scans for password hashes disclosed by the web server. Various formats are included, including some formats such as MD4, MD5, and SHA*, which are sometimes used for purposes other than to contain password hashes. Note: This scan rule will only analyze text responses, and only analyze JavaScript responses on LOW Threshold. The selection of Hash patterns which are evaluated is tied to the Confidence we have in the pattern and the Threshold set for the scan rule. In other words: Low confidence patterns will only be included for evaluation at Low Threshold, etc.",10097,https://www.zaproxy.org/docs/alerts/10097/,1,497
passive,Heartbleed OpenSSL Vulnerability (Indicative),Passively scans for HTTP header responses that may indicate that the server is vulnerable to the critical HeartBleed OpenSSL vulnerability.,10034,https://www.zaproxy.org/docs/alerts/10034/,3,119
passive,"Server Leaks its Webserver Application via ""Server"" HTTP Response Header Field",This checks response headers for the presence of a server header that contains version details. At LOW Threshold will raise an alert based on presence of the header field whether or not a version string is detected.,10036-1,https://www.zaproxy.org/docs/alerts/10036-1/,0,497
passive,"Server Leaks Version Information via ""Server"" HTTP Response Header Field",This checks response headers for the presence of a server header that contains version details. At LOW Threshold will raise an alert based on presence of the header field whether or not a version string is detected.,10036-2,https://www.zaproxy.org/docs/alerts/10036-2/,1,497
passive,HTTP to HTTPS Insecure Transition in Form Post,This check looks for insecure HTTP pages that host HTTPS forms. The issue is that an insecure HTTP page can easily be hijacked through MITM and the secure HTTPS form can be replaced or spoofed.,10041,https://www.zaproxy.org/docs/alerts/10041/,2,319
passive,HTTPS to HTTP Insecure Transition in Form Post,This check identifies secure HTTPS pages that host insecure HTTP forms. The issue is that a secure page is transitioning to an insecure page when data is uploaded through a form. The user may think they’re submitting data to a secure page when in fact they are not.,10042,https://www.zaproxy.org/docs/alerts/10042/,2,319
passive,Information Disclosure: Debug Errors,This passive scan rule checks the content of web responses for known Debug Error message fragments. Access to such details may provide a malicious individual with means by which to further abuse the web site. They may also leak data not specifically meant for end user consumption. Note: Javascript responses are only assessed at LOW threshold.,10023,https://www.zaproxy.org/docs/alerts/10023/,1,1295
passive,Information Disclosure: In URL,"Attempts to identify the existence of sensitive details within the visited URIs themselves (this may include parameters, document names, directory names, etc.).",10024,https://www.zaproxy.org/docs/alerts/10024/,0,598
passive,Information Disclosure: Referrer,"Identifies the existence of sensitive details within the Referrer header field of HTTP requests (this may include parameters, document names, directory names, etc.). Note: In the case of suspected credit card identifiers in the Referrer value, the potential credit card numbers are looked up against a Bank Identification
Number List (BINList). If a match is found the alert is raised at High confidence and additional details are added to the ‘Other Information’ field in the alert,
otherwise the alerts will have Medium confidence.
See: binlist-data for more information.",10025,https://www.zaproxy.org/docs/alerts/10025/,0,598
passive,Information Disclosure: Suspicious Comments,Analyzes web content to identify comments which contain potentially sensitive details. Which may lead to further attack or exposure of unintended data. Note: The strings to look for can be extended by using the Custom Payloads add-on. The Custom Payloads category for this rule is: Suspicious-Comments .,10027,https://www.zaproxy.org/docs/alerts/10027/,0,615
passive,Authentication Credentials Captured,HTTP basic or digest authentication has been used over an unsecured connection. The credentials can be read and then reused by someone with access to the network.,10105-1,https://www.zaproxy.org/docs/alerts/10105-1/,2,287
passive,Weak Authentication Method,HTTP basic or digest authentication has been used over an unsecured connection. The credentials can be read and then reused by someone with access to the network.,10105-2,https://www.zaproxy.org/docs/alerts/10105-2/,2,326
passive,Insecure JSF ViewState,The response contains a Java Server Faces (JSF) ViewState value that has no cryptographic protections.,90001,https://www.zaproxy.org/docs/alerts/90001/,2,642
passive,Mixed Content,For content served via HTTPS analyse all the src attributes in the response looking for those sourced via plain HTTP.,10040,https://www.zaproxy.org/docs/alerts/10040/,1,311
passive,Modern Web Application,This raises an informational alert if a site appears to be a modern web application. It does not indicate any potential vulnerabilities but it could indicate that the ajax spider might be more effective at exploring this site compared to the traditional spider.,10109,https://www.zaproxy.org/docs/alerts/10109/,0,0
passive,Off-site Redirect,This check looks at user-supplied input in query string parameters and POST data to identify where open redirects might be possible. Open redirects occur when an application allows user-supplied input (e.g. http://nottrusted.com ) to control an off-site destination. This is generally a pretty accurate way to find where 301 or 302 redirects could be exploited by spammers or phishing attacks. NOTE : For the purposes of the passive check the authority portion of the origin and destination were compared. Manual testing may be required to validate the impact of this finding.,10028,https://www.zaproxy.org/docs/alerts/10028/,3,601
passive,PII Disclosure,"PII is information like credit card number, SSN etc. This check currently reports only numbers which match credit card numbers and pass Luhn checksum, which gives high confidence, that this is a credit card number. At MEDIUM and HIGH threshold it attempts to use three characters of context on each side of potential matches to exclude matches within decimal like content or content which includes underscores. At LOW threshold, alerts will be raised for such matches. At MEDIUM and HIGH threshold, the following content types are evaluated: HTML (visible text and script blocks) JSON XML Image and CSS files are always ignored. Every other content type is evaluated at LOW threshold. Additionally at LOW threshold the entire HTML response is evaluated. Note: In the case of suspected credit card values, the potential credit card numbers are looked up against a Bank Identification Number List
(BINList). If a match is found the alert is raised at High confidence and additional details are added to the ‘Other Information’ field in the
alert, otherwise the alerts will have Medium confidence.
See: binlist-data for more information.",10062,https://www.zaproxy.org/docs/alerts/10062/,3,359
passive,Private Address Disclosure,"Checks the response content for inclusion of RFC 1918 IPv4 addresses as well as Amazon EC2 private hostnames (for example, ip-10-0-56-78). This information can give an attacker useful information about the IP address scheme of the internal network, and might be helpful for further attacks targeting internal systems. This passive scan rule may generate false positives in the case of larger dotted numeric strings,
such as vp09.02.51.10.01.09.16, where the latter 4 octets appear to be a RFC 1918 IPv4 address.
After review an analyst can mark such alerts as False Positives in ZAP. For handling during
repeated scans the “Context Alert Filters” add-on could be leveraged. This scan rule will only analyze text responses.",2,https://www.zaproxy.org/docs/alerts/2/,1,497
passive,Retrieved from Cache,This scan rule detects content that has been served from a shared cache.,10050-1,https://www.zaproxy.org/docs/alerts/10050-1/,0,525
passive,Retrieved from Cache,This scan rule detects content that has been served from a shared cache.,10050-2,https://www.zaproxy.org/docs/alerts/10050-2/,0,525
passive,Reverse Tabnabbing,"This checks to see if any links use a target attribute using “opener” keyword in the “rel” attribute, as this may allow target pages to take over the page that opens them. By default this rule will ignore all links that are in the same context as the page. At the LOW threshold it will only ignore links that are on the same host. At HIGH threshold it will only report links that use the “_blank” target. This rule supports Trusted Domains , check “General Configuration” for more information.",10108,https://www.zaproxy.org/docs/alerts/10108/,2,1022
passive,Script Served From Malicious Domain (polyfill),"This checks for scripts being served from one of the ‘polyfill’ domains, which are known to have been compromised. It will raise an alert with a High confidence if a script is loaded from one of the malicious domains, and a Low confidence if it just finds an apparent reference to one of the malicious domains in the script contents. The known malicious ‘polyfill’ domains are: polyfill.io bootcdn.net bootcss.com staticfile.net staticfile.org unionadjs.com xhsbpza.com union.macoms.la newcrbpc.com",10115-1,https://www.zaproxy.org/docs/alerts/10115-1/,3,829
passive,Script Served From Malicious Domain (polyfill),"This checks for scripts being served from one of the ‘polyfill’ domains, which are known to have been compromised. It will raise an alert with a High confidence if a script is loaded from one of the malicious domains, and a Low confidence if it just finds an apparent reference to one of the malicious domains in the script contents. The known malicious ‘polyfill’ domains are: polyfill.io bootcdn.net bootcss.com staticfile.net staticfile.org unionadjs.com xhsbpza.com union.macoms.la newcrbpc.com",10115-2,https://www.zaproxy.org/docs/alerts/10115-2/,3,829
passive,Server Leaks Information via “X-Powered-By” HTTP Response Header Field(s),This checks response headers for the presence of X-Powered-By details.,10037,https://www.zaproxy.org/docs/alerts/10037/,1,497
passive,Session ID in URL Rewrite,"This scan rule checks for the existence of session token type parameters being rewritten to the URL. To help reduce false positives the rule checks the length of the token value, if the value of the parameter is not greater than 8 characters in length then the parameter is ignored (i.e.: survey?sId=5 would not be flagged as vulnerable).",3-1,https://www.zaproxy.org/docs/alerts/3-1/,2,598
